N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87,82.00,6.50,202.93,rice
85,58,41,21.77,80.31,7.03,226.65,rice
60,55,44,23.00,82.32,7.84,263.96,rice
74,35,40,26.49,80.15,6.98,242.86,rice
78,42,42,20.13,81.60,7.62,262.71,rice
69,37,42,23.05,83.37,7.07,251.05,rice
90,57,44,22.70,82.63,5.70,271.32,rice
65,55,38,20.27,82.89,5.71,241.97,rice
60,55,45,24.18,82.27,6.86,230.17,rice
80,48,39,24.35,80.42,6.77,211.06,rice
71,54,18,22.63,63.69,5.70,87.75,maize
61,44,17,26.10,71.57,6.93,102.27,maize
62,49,16,25.56,60.47,6.78,119.51,maize
77,41,20,24.18,63.45,7.31,60.01,maize
67,49,18,25.26,67.65,6.29,91.82,maize
76,57,18,23.58,58.84,6.31,114.73,maize
67,59,23,22.72,64.79,5.69,76.54,maize
76,44,17,26.34,56.55,6.53,116.79,maize
79,59,15,24.47,66.19,7.66,97.74,maize
77,37,16,23.52,58.82,6.41,69.56,maize
39,68,79,17.84,16.08,7.43,80.00,chickpea
35,64,77,18.89,17.43,7.21,80.20,chickpea
21,76,76,17.39,18.73,7.68,88.42,chickpea
38,77,79,19.02,17.13,6.92,79.93,chickpea
28,63,80,18.82,19.54,7.19,72.78,chickpea
22,72,80,18.06,15.78,7.83,72.93,chickpea
37,70,78,19.34,17.07,7.28,68.79,chickpea
107,34,32,26.77,66.41,6.78,177.77,jute
69,57,41,24.96,77.89,6.74,186.25,jute
79,38,37,25.86,76.24,6.78,175.76,jute
89,35,39,23.97,79.62,6.72,154.34,jute
75,38,37,23.82,82.47,6.86,163.69,jute
100,53,40,24.75,80.39,6.74,170.83,jute
113,44,36,23.45,82.52,6.41,180.22,jute
118,50,32,24.08,79.28,6.82,185.03,jute
100,20,50,26.83,82.02,6.53,195.42,cotton
118,10,51,25.71,78.20,7.17,80.12,cotton
110,18,48,23.49,84.45,6.71,94.13,cotton
108,12,50,24.23,79.52,7.39,89.51,cotton
112,19,45,25.10,81.44,7.52,65.23,cotton
115,22,49,24.64,80.40,6.87,70.18,cotton
102,15,48,23.87,83.19,7.60,95.12,cotton
100,18,52,25.90,79.40,6.90,82.40,cotton
100,75,50,25.85,76.84,6.21,91.55,coffee
108,70,49,27.18,74.84,6.03,148.54,coffee
104,62,49,27.33,76.17,6.47,159.20,coffee
99,68,51,27.42,76.74,6.30,158.07,coffee
109,69,52,26.54,77.58,6.31,179.82,coffee
105,74,51,26.17,79.40,6.20,165.21,coffee
101,65,48,25.10,75.40,6.45,172.10,coffee
107,72,50,26.80,78.20,6.15,160.40,coffee
100,75,50,27.50,77.00,6.25,168.00,coffee
100,80,200,25.50,80.50,6.00,105.00,banana
105,85,195,26.20,82.10,5.80,110.00,banana
110,78,205,27.00,79.80,6.20,100.00,banana
95,90,190,25.80,81.20,6.10,115.00,banana
102,82,202,26.50,83.00,5.90,108.00,banana
20,25,30,27.50,90.20,5.80,180.00,coconut
18,30,35,26.80,92.50,6.00,200.00,coconut
22,20,28,28.10,88.90,5.60,190.00,coconut
25,28,32,27.90,91.00,6.10,210.00,coconut
20,60,20,30.50,52.10,7.20,45.00,pomegranate
18,55,22,29.80,50.40,7.00,50.00,pomegranate
22,62,18,31.20,54.00,7.40,40.00,pomegranate
